,Hometown,Hometown Max Group,Hometown Count Group
0,"Bradenton, FL",1,1
1,"Phenix City, AL",1,1
2,"Miamisburg, OH",1,1
3,"Dayton, OH",7,7
4,"Belleville, MI",1,1
5,"New Orleans, LA",1,1
6,"Sharpsburg, GA",1,1
7,"Neptune Beach, FL",1,1
8,"Glenside, PA",1,1
9,"Miami, FL",2,2
10,"Myrtle Beach, SC",1,1
12,"Largo, FL",1,1
13,"Powell, TN",3,3
14,"Norcross, GA",1,1
15,"Irvington, NJ",1,1
16,"Ellenwood, GA",1,1
17,"Miami, FL",2,2
18,"Daingerfield, TX",1,1
19,"Cordele, GA",1,1
20,"West Palm Beach, FL",1,1
22,"Chantilly, VA",1,1
23,"Ogden, UT",1,1
24,"Englewood, CO",1,1
25,"New Orleans, LA",1,1
27,"Canton, GA",1,1
28,"Zionsville, IN",1,1
29,"Monroe, LA",1,1
30,"Wayne, NJ",1,1
32,"West Chester, OH",1,1
33,"Atlanta, GA",1,1
34,"Red Bank, NJ",1,1
35,"Ashburn, VA",1,1
36,"Nashville, TN",1,1
37,"Fort Payne, AL",1,1
38,"Marion, IA",1,1
39,"Sachse, TX",1,1
40,"Essexville, MI",1,1
41,"Miami, FL",2,2
42,"Saint Louis, MO",2,2
43,"Bradenton, FL",1,1
44,"Clearwater, FL",1,1
45,"Chandler, AZ",2,2
46,"West Bloomfield, MI",1,1
47,"Ponchatoula, LA",1,1
48,"Mustang, OK",1,1
49,"Richmond, VA",1,1
50,"Baltimore, MD",1,1
51,"Kennesaw, GA",1,1
53,"Maumelle, AR",1,1
54,"Bettendorf, IA",1,1
55,"Millbrook, NY",1,1
56,"Graham, WA",1,1
57,"Kansas City, MO",1,1
58,"Tampa, FL",1,1
59,"Saint Petersburg, FL",1,1
60,"Aldie, VA",1,1
61,"Boynton Beach, FL",1,1
62,"Denton, TX",1,1
63,"Houston, TX",2,2
64,"Lancaster, PA",1,1
65,"Wylie, TX",1,1
66,"Philadelphia, PA",1,1
67,"Las Vegas, NV",2,2
68,"Scottsdale, AZ",1,1
69,"Saraland, AL",1,1
73,"Pittsburgh, PA",1,1
74,"Abernathy, TX",1,1
75,"Fort Lauderdale, FL",1,1
76,"Towson, MD",1,1
78,"Dearborn, MI",1,1
79,"Miami, FL",2,2
80,"Owings Mills, MD",1,1
81,"Irmo, SC",1,1
84,"Saint Peters, MO",1,1
85,"Van Nuys, CA",1,1
86,"Lees Summit, MO",1,1
87,"Lewisville, TX",1,1
89,"Flower Mound, TX",2,2
90,"Lawrenceburg, IN",1,1
91,"Katy, TX",2,2
93,"Cypress, TX",2,2
95,"Baton Rouge, LA",1,1
96,"Johnston City, IL",1,1
97,"Niceville, FL",1,1
98,"Denton, TX",1,1
99,"Frisco, TX",1,1
100,"Dripping Springs, TX",1,1
101,"Cincinnati, OH",2,2
102,"Olympia, WA",1,1
103,"Saint Clairsville, OH",1,1
104,"Maize, KS",1,1
105,"Jersey City, NJ",1,1
106,"Powell, TN",3,3
107,"Niceville, FL",1,1
108,"Pinson, AL",1,1
109,"Nashville, TN",1,1
110,"Stoughton, WI",1,1
111,"Denton, TX",1,1
112,"Raleigh, NC",1,1
114,"York, PA",1,1
115,"Salt Lake City, UT",1,1
116,"Lakewood, OH",1,1
117,"Pierce, NE",1,1
