,Height_in_Inches,Weight_in_Kg,Followers Instagram,Followers Tiktok,Followers Twitter,NIL Value,Legacy,School Max Group,School Count Group,Hometown Max Group,Hometown Count Group,Sport_Football,Position_C,Position_CB,Position_CG,Position_DL,Position_EDGE,Position_IOL,Position_K,Position_LB,Position_OT,Position_P,Position_PF,Position_PG,"Position_PG, SG",Position_QB,Position_RB,Position_S,Position_SF,Position_SG,Position_TE,Position_WR
0,0.37,0.5652173913043479,0.024653490781880658,0.0003392857142857143,0.23846153846153845,0.09714538614737772,0.0,0.1111111111111111,0.9999999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.365,0.4552429667519182,0.01603278626342459,0.0,0.0,0.050674928081433944,0.0,0.0,0.08823529411764705,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.38,0.5959079283887468,0.0018948308531566431,0.0,0.0,0.007966364239876077,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.39,0.639386189258312,0.007239667654599404,6.714285714285714e-05,0.06666666666666667,0.018145607435273287,0.0,0.0,0.0588235294117647,0.6666666666666665,0.6666666666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.365,0.5242966751918159,0.0025844872146331284,0.0,0.0,0.021243637973002875,0.0,0.0,0.08823529411764705,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.34,0.47314578005115093,0.015515543992317226,0.009071428571428572,0.05384615384615384,0.06395220181456074,0.0,0.0,0.0588235294117647,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,0.36,0.4603580562659847,0.004308628118324342,0.00023642857142857143,0.04615384615384615,0.03297189643726488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.37,0.5780051150895141,0.008791394467921496,0.0,0.0,0.04182341225934941,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.38,0.6010230179028133,0.004653456299062584,0.0,0.0,0.035184775392786014,0.0,0.0,0.029411764705882353,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.37,0.5115089514066496,0.012584504456042164,0.0007857142857142857,0.016435897435897434,0.03230803275060854,0.0,0.1111111111111111,0.029411764705882353,0.1111111111111111,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0.375,0.5549872122762148,0.008791394467921496,1.642857142857143e-05,0.08205128205128205,0.04403629121487054,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,0.38,0.5370843989769821,0.004825870389431706,0.0014285714285714286,0.030769230769230767,0.02434166851073246,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.36,0.4603580562659847,0.017239684896008443,2.857142857142857e-05,0.035897435897435895,0.03961053330382828,0.0,0.2222222222222222,0.0588235294117647,0.2222222222222222,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,0.385,0.7979539641943735,0.008963808558290617,0.0,0.0,0.023899092719628236,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.355,0.4782608695652174,0.009653464919767103,0.0,0.0,0.029873865899535293,0.0,0.0,0.029411764705882353,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,0.39,0.5191815856777494,0.0020672449435257647,0.0,0.0,0.030095153795087405,0.0,0.0,0.20588235294117646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.38,0.5882352941176471,0.004998284479800827,0.0,0.0,0.035184775392786014,0.0,0.0,0.0588235294117647,0.1111111111111111,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.35000000000000003,0.44757033248081846,0.02620521759520275,0.0012142857142857144,0.04615384615384615,0.0816552334587298,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,0.365,0.4987212276214834,0.0001327588495842234,0.00011071428571428572,0.02564102564102564,0.014605001106439475,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.36,0.4450127877237852,0.006894839473861161,0.0,0.0,0.03739765434830714,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.38,0.6010230179028133,0.008618980377552375,0.00018071428571428573,0.05384615384615384,0.027882274839566276,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.37,0.6138107416879796,0.005343112660539069,0.003642857142857143,0.06666666666666667,0.023677804824076124,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.385,0.7033248081841433,0.001560347517840548,0.0,0.0,0.006859924762115513,0.0,0.0,0.0588235294117647,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.37,0.48337595907928393,0.01586037217305547,0.0002142857142857143,0.05897435897435897,0.03961053330382828,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,0.375,0.5115089514066496,0.008618980377552375,0.0012857142857142859,0.06666666666666667,0.04182341225934941,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.36,0.4552429667519182,0.00810173810644501,0.0,0.0,0.0008851515822084523,0.0,0.0,0.0588235294117647,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.35000000000000003,0.4347826086956522,0.009136222648659738,0.0,0.0,0.03961053330382828,0.0,0.0,0.0588235294117647,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,0.35000000000000003,0.4347826086956522,0.004481042208693463,7.285714285714286e-05,0.024205128205128205,0.03297189643726488,0.0,0.0,0.029411764705882353,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.365,0.4782608695652174,0.0058603549316464335,7.142857142857143e-07,0.04871794871794872,0.035184775392786014,0.0,0.0,0.0588235294117647,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.37,0.5242966751918159,0.004998284479800827,0.00025214285714285714,0.04871794871794872,0.019915910599690195,0.0,0.0,0.029411764705882353,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.38,0.5907928388746804,0.006032769022015555,0.0,0.0,0.023235229032971892,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.385,0.7033248081841433,0.005687940841277312,0.00019642857142857144,0.11538461538461538,0.028546138526222613,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.34500000000000003,0.47570332480818417,0.004481042208693463,0.0,0.0,0.021243637973002875,0.0,0.0,0.0588235294117647,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
