Height_in_Inches,Weight_in_Kg,Followers Instagram,Followers Tiktok,Followers Twitter,School Max Group,School Count Group,Hometown Max Group,Hometown Count Group
74,221,14300,475,9300,2,35,1,1
73,178,9300,0,0,1,4,1,1
76,233,1100,0,0,1,1,1,1
78,250,4200,94,2600,1,3,7,7
73,205,1500,0,0,1,4,1,1
68,185,9000,12700,2100,1,3,1,1
72,180,2500,331,1800,1,1,1,1
74,226,5100,0,0,1,1,1,1
76,235,2700,0,0,1,2,1,1
74,200,7300,1100,641,2,2,2,2
75,217,5100,23,3200,1,1,1,1
76,210,2800,2000,1200,1,1,1,1
72,180,10000,40,1400,3,3,3,3
77,312,5200,0,0,1,1,1,1
71,187,5600,0,0,1,2,1,1
78,203,1200,0,0,1,8,1,1
76,230,2900,0,0,1,3,2,2
70,175,15200,1700,1800,1,1,1,1
73,195,78,155,1000,1,1,1,1
72,174,4000,0,0,1,1,1,1
76,235,5000,253,2100,1,1,1,1
74,240,3100,5100,2600,1,1,1,1
77,275,906,0,0,1,3,1,1
74,189,9200,300,2300,1,1,1,1
75,200,5000,1800,2600,1,1,1,1
72,178,4700,0,0,1,3,1,1
70,170,5300,0,0,1,3,1,1
70,170,2600,102,944,1,2,1,1
73,187,3400,1,1900,1,3,1,1
74,205,2900,353,1900,1,2,1,1
76,231,3500,0,0,1,1,1,1
77,275,3300,275,4500,1,1,1,1
69,186,2600,0,0,1,3,1,1
70,155,8400,976,2300,1,1,1,1
73,175,1800,789,1300,1,1,1,1
74,226,12300,25000,5000,1,1,1,1
75,300,2300,0,0,1,1,1,1
73,205,2600,0,0,2,5,2,2
71,170,3000,0,0,1,1,2,2
77,327,5200,0,0,2,35,1,1
76,220,5300,280,1200,1,2,1,1
75,295,2100,0,0,2,3,2,2
75,290,1400,0,0,1,3,1,1
76,180,1,6,3000,1,2,1,1
77,226,1400,87,1800,1,2,1,1
75,173,14700,1100,5000,1,1,1,1
77,322,4000,0,0,1,9,1,1
71,182,1400,0,0,1,7,1,1
78,318,1900,102,3300,1,2,1,1
77,238,1,1,3200,1,1,1,1
76,215,2900,0,0,1,1,1,1
76,273,3100,2300,2500,1,2,1,1
80,270,1900,0,0,1,1,1,1
71,186,4500,0,0,1,3,1,1
69,155,2300,0,0,1,2,1,1
76,310,1000,0,0,1,1,1,1
69,190,4400,0,0,1,6,1,1
74,228,7600,0,0,1,2,1,1
75,275,4400,0,0,1,3,2,2
71,175,5500,177,2300,1,1,1,1
77,239,957,0,0,1,1,1,1
