,School,School Max Group,School Count Group
0,IMG Academy,2,35
1,Central,1,4
2,Miamisburg,1,1
3,Wayne,1,3
4,Belleville,1,4
5,Edna Karr,1,3
6,Trinity Christian School,1,1
7,Duncan U. Fletcher,1,1
8,La Salle College,1,2
9,Northwestern,2,2
10,Myrtle Beach,1,1
12,Largo,1,1
13,Powell,3,3
14,Greater Atlanta Christian School,1,1
15,Irvington,1,2
16,Cedar Grove,1,8
17,Christopher Columbus HS,1,3
18,Daingerfield,1,1
19,Crisp County,1,1
20,Palm Beach Central,1,1
22,Chantilly,1,1
23,Weber,1,1
24,Cherry Creek,1,3
25,Western High School,1,1
27,Cherokee,1,1
28,Zionsville,1,3
29,Neville,1,3
30,DePaul Catholic,1,2
32,Lakota West,1,3
33,Westminster School,1,2
34,Red Bank Catholic,1,1
35,Broad Run,1,1
36,Lipscomb Academy,1,3
37,Fort Payne,1,1
38,Marion,1,1
39,Sachse,1,1
40,Garber,1,1
41,Miami Central,2,5
42,Lutheran North,1,1
43,IMG Academy,2,35
44,Lakewood,1,2
45,Chandler,2,3
46,West Bloomfield,1,3
47,Ponchatoula,1,2
48,Mustang,1,2
49,St. Christopher's School,1,1
50,St. Frances Academy,1,9
51,North Cobb,1,7
53,Maumelle,1,2
54,Pleasant Valley,1,1
55,Milton Academy,1,1
56,Graham-Kapowsin,1,2
57,Rockhurst,1,1
58,Carrollwood Day,1,3
59,Lakewood,1,2
60,Lightridge,1,1
61,St. Thomas Aquinas,1,6
62,Ryan,1,2
63,Westfield,1,3
64,Manheim Township,1,1
65,Wylie East,1,1
66,Neumann Goretti,1,3
67,Liberty,1,5
68,Chaparral,1,1
69,Saraland,1,2
73,Central Catholic,1,4
74,Abernathy,1,1
75,Dillard,1,3
76,Loyola Blakefield,1,1
78,Fordson,1,1
79,Florida Christian School,1,1
80,McDonogh School,1,4
81,Dutch Fork,1,1
84,Lutheran Of St Charles County,1,1
85,Birmingham,1,1
86,Lee's Summit North,1,2
87,Lewisville,1,1
89,Marcus,1,1
90,Lawrenceburg,1,1
91,Tompkins,1,1
93,Cy Ranch,1,1
95,University Lab,1,1
96,Johnston City,1,1
97,Niceville,1,2
98,Ryan,1,2
99,Lebanon Trail,1,1
100,Dripping Springs,1,1
101,Lakota East,1,1
102,Tumwater,1,2
103,St. Clairsville,1,1
104,Maize,1,1
105,St. Peters Prep,1,5
106,Powell,3,3
107,Niceville,1,2
108,Pinson Valley,1,2
109,Pearl-Cohn,1,1
110,Fall River,1,1
111,IMG Academy,2,35
112,Leesville Road,1,1
114,Central York,1,1
115,East,1,1
116,St. Edward,1,1
117,Pierce,1,1
118,North Cobb,1,7
119,Brophy College Preparatory,1,2
120,Carroll County,1,1
121,Allatoona,1,1
122,St. Mary's Springs,1,1
123,Madison Central,1,2
124,Strongsville,1,1
125,Cherry Creek,1,3
126,Isidore Newman,1,1
127,Langston Hughes,1,3
128,Katy,2,2
129,Killian,1,1
130,Wharton,1,1
132,Middletown,1,1
133,Gibson Southern,1,1
134,De La Salle Collegiate,1,1
135,Adams,1,1
136,Auburn,1,4
137,Lake Mary,1,1
138,Rockwall,1,1
